date,year,month,district,latitude,longitude,temperature_avg,precipitation,disno,disaster_type,country,precip_rolling_30d_mean,precip_rolling_30d_std,spi_like,heat_stress_index,is_monsoon,temp_lag_1,precip_lag_1,temp_lag_3,precip_lag_3,temp_lag_7,precip_lag_7,temp_lag_30,precip_lag_30,distance_to_center_km,region_id,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10
2000-12-31,0.0,1.5948668342878258,Gulmi,28.1,83.2,-0.8186214940604993,-0.6980146868183211,,,,-0.34232722639103047,-0.2792350399712338,-0.7797905800021333,-0.8186214940604993,-0.7099821725736467,-0.539190649732379,-0.6433357015117043,0.12650193445821264,0.5488456123927553,0.5325204394994792,-0.08283269517079572,0.7611370646313437,-0.09660851630549439,-0.8192158674962614,28.1_83.2,-1.207869912849903,0.7998068139405673,1.3006827942908465,1.4977182337272459,-0.7972096411607942,0.1948076279497436,0.6298877839264401,-0.062429502044955065,-0.37798996280807196,0.7503086950346718
2001-01-31,0.08907406333911429,-1.5958316900786034,Gulmi,28.1,83.2,-0.98045832757985,-0.6986230429391821,,,,-0.5882943371892947,-0.4383471028156022,-0.7355870101652752,-0.98045832757985,-0.7099821725736467,-0.8223848800144311,-0.6998399036490074,-0.08699887029998882,-0.70243378209052,0.4644434304820226,0.7651887433515249,0.5118000352164663,1.6253475459789946,-0.8192158674962614,28.1_83.2,-2.748292212148644,1.201310391115205,-0.6404889724957864,-0.8828144628317582,-0.7798029162929941,-0.4956786813703411,0.9383231442531912,0.28812317486904426,0.3658010133102318,-0.44199966283044034
2001-02-28,0.08907406333911429,-1.3057681878634735,Gulmi,28.1,83.2,-0.7255098912137498,-0.6951756915876366,,,,-0.8389170796016099,-0.6477586507102484,-0.6946972669376082,-0.7255098912137498,-0.7099821725736467,-0.9845274589210178,-0.7004485665086553,-0.5406880804111663,-0.6469883552614444,0.4119906530423425,1.2036942515043045,0.37912528561955916,1.6738400742216637,-0.8192158674962614,28.1_83.2,-2.9058711414498113,1.0509015444611614,-0.8170200297378966,-0.8995811136648253,-0.779621138891691,-0.36779393655673415,0.7213348869473443,0.2337186938794155,0.48303808995466685,-0.01272838842871604
2001-03-31,0.08907406333911429,-1.0157046856483436,Gulmi,28.1,83.2,-0.4062701100248935,-0.612642044524167,,,,-0.9185403177188329,-0.6488832367858669,-0.5265981085953962,-0.4062701100248935,-0.7099821725736467,-0.7290973688626963,-0.696999476970651,-0.8242438367306525,-0.7035508144991643,0.3885543056756774,2.0410353192643793,0.2773317277391734,0.10877776422123053,-0.8192158674962614,28.1_83.2,-2.477081284133809,0.6909751979261721,-1.1661359799699107,-0.6993587089047152,-0.8019120142132035,0.23635634898882812,-0.3672100441214334,0.5479194401470482,0.31853812241791485,1.132839173654722
2001-04-30,0.08907406333911429,-0.7256411834332137,Gulmi,28.1,83.2,0.11581994879438148,-0.6284593036665519,,,,-0.9637618024175475,-0.6402470481565147,-0.5267213216655479,0.11581994879438148,-0.7099821725736467,-0.4092544734853198,-0.6144242156784342,-0.9865934070155347,-0.7041601049038795,0.13187050118362734,0.544359363114994,0.01426972422806445,-0.2395724494615267,-0.8192158674962614,28.1_83.2,-1.698128632501655,0.06015385014942192,-1.1710258883913978,0.08229972717780956,-0.7945000888028321,0.864416684839373,-0.39097668950064784,0.4337407380642934,0.08992570551256689,0.1320817237505189
2001-05-31,0.08907406333911429,-0.4355776812180837,Gulmi,28.1,83.2,0.44392750168292816,-0.1749298155647101,,,,-0.9090879747448517,-0.6517396402829145,0.15632988706874218,0.44392750168292816,-0.7099821725736467,0.11382192832976439,-0.6302494500292768,-0.7308372346489395,-0.7007074592771604,-0.08240467474017109,-0.7090075752887525,-0.4043419857070048,-0.7351807510691054,-0.8192158674962614,28.1_83.2,-0.5683373619720301,-0.8000489401769844,-1.2141293417835055,0.586801436457595,-0.7914752889403174,1.1838610035332218,-0.17684512924181894,0.3765292658284481,-0.5865910821822194,-0.3963252639363199
2001-06-30,0.08907406333911429,-0.1455141790029538,Gulmi,28.1,83.2,0.5159781467429129,0.3949984769951943,,,,-0.7920134902404758,-0.6378616122242335,0.9879645613562212,0.5159781467429129,1.4084860699742006,0.4425493485787347,-0.17649128816184953,-0.4105860275116375,-0.6180470610374764,-0.5377394235782421,-0.6534696473250741,-0.7909287560841998,-0.7486916282684668,-0.8192158674962614,28.1_83.2,0.8367205003290875,-2.061849372225471,-1.1881665975784206,-0.003741274137176176,-0.770252662866558,0.7271452575955072,0.3496868053194902,-0.2482326284281043,0.08644865887739771,-0.04080078938252702
2001-07-31,0.08907406333911429,0.14454932321217612,Gulmi,28.1,83.2,0.5137612038179903,0.786070070021978,,,,-0.6482749337647198,-0.5795809644774272,1.4819937692050957,0.5137612038179903,1.4084860699742006,0.514736113160434,0.39372436751818807,0.11315813416082496,-0.6338886115600695,-0.8223236416020367,-0.7101264712733687,-1.0528470117539563,-0.6020619532366387,-0.8192158674962614,28.1_83.2,1.4895929647887451,-2.431965607851383,-0.8967961990235018,-0.2339426326824758,-0.7615249943557318,0.331881866941266,0.632740486384445,-0.17249483222620765,0.15662747757431872,0.1301849008840678
2001-08-31,0.08907406333911429,0.43461282542730606,Gulmi,28.1,83.2,0.44392750168292816,1.2501443975520765,,,,-0.4404753203711543,-0.4709170711289497,1.973787780659627,0.44392750168292816,1.4084860699742006,0.5125149819425356,0.7849931424617755,0.442305208163052,-0.17966261484495089,-0.9852620566274252,-0.7107367781740686,-0.5678979270204335,-0.740941202588213,-0.8192158674962614,28.1_83.2,2.1445807052310255,-2.4534192804495247,-0.4011839239967004,-0.24805513583303765,-0.767384796962654,-0.10248998140393437,0.7943975509706085,0.20844866514680513,-0.0935961721564729,0.47676356506190515
2001-09-30,0.08907406333911429,0.724676327642436,Gulmi,28.1,83.2,0.19119600824175026,0.8556254531737473,,,,-0.27445701633445213,-0.4377062668323584,1.3140091343904499,0.19119600824175026,1.4084860699742006,0.4425493485787347,1.2493014605630979,0.514584126440568,0.3911409459723263,-0.7285782521353751,-0.7072783724034365,-0.23735480086951807,-0.7452353573570023,-0.8192158674962614,28.1_83.2,2.01579142822449,-1.925411706151242,0.3695721981171504,0.17762370917997564,-0.7651451130865007,-0.2407116677996121,0.6795894511862326,0.4887378511485858,0.38726332205890207,0.41369828912872614
