Temporary Crop,Number of Holdings.1,Area (ha.),Permanent crop type,Total holdings reporting,Compact plantation area (ha),Compact plantation Number of scattered trees,Productive age,Non-productive age,Productive age.1,Non-productive age.1,No. of holdings,Area (ha),Number of trees,Area_ha,prov,dist,Area_Name,Total_Households,total,Male,Female,absnt_cntry_hhld,absnt_cntry_tot,absnt_cntry_male,absnt_cntry_feml,absnt_abrd_hhld,absnt_abrd_tot,absnt_abrd_male,absnt_abrd_feml,Domain Value,Analytical Domain,Yes,No,Don't Know,River,Length(km),River Attribute,Value,District/Zone/Region,Total Population (2011),Total Area (Km2),Total Road Length (Km.),Population Influenced per Km. Road (Nos.),Road Density (Km/100,locations,Altitude in masl,Average Annual Rainfall(in mm),S.N.,Glacier Lake,Location /District,Altitude (m.),Area (sq.m.),Year,Number of People Dead,Number of People Injured,Number of Livestock Loss,Number of House Destroyed,Number of Affected Family,Land Affected (Ha.),Estimated Loss (Million NRs.),Disaster type,No. of death,No. of persons missing,No. of persons injured,No. of houses damaged or destroyed,No of affected families,No. of incidents,Year.1,Flood & Landslides,Earthquake,"Windstorms, Hailstorm & Thunderbolt",Avalanche,Fire,Epidemic,Stampede,Total.1,S.N..1,District,Total Lake,<100m,100-499 m,500- 1999m,2000-2999m,3000-4999m,> 5000m,Region.1,Station,Date of Establishment,Meterological Station Lat(N),Meterological Station Long(E),Meterological Station Altitude(in masl),Hydrological Station Lat(N),Hydrological Station Long.(E),Hydrological Station Altitude(in masl),Catchment(sq km),River Basin,Glacier Covered(in percentage),Source,Type of hydrological station,Type of meterological station,Remarks,district,district_matched,district_matched_second_round,district_matched_count,district_matched_second_round_count
Other cereals,24161.0,2217.8,Pineapple,44191.0,391.5,10198.0,311.2,877070.0,2866.0,80.3,197773.0,208897.0,117126.0,40,5,0,Lumbini,1141902,5122078,2454408,2667670,144402,323011,192729,130282,308073,420906,367670,53236,Bagmati-Hill,Province-ecological zone,92.1,6.7,1.2,Karnali,507.0,Drainage Area (kmÂ²) - Nepal,41890.0,Bhojpur,183918.0,1507.0,107.0,0.0,7.0,Bhairahawa,0-1000,1000-2000,11.0,East Hungu 2,-,5483.0,211877.0,1993-01-01,1524.0,246.0,1531.0,21911.0,90911.0,,5189.0,Hailstones,0.0,0.0,0.0,6.0,2608.0,17.0,1993-01-01,1336.0,0.0,45.0,0.0,43.0,100.0,0.0,1524.0,11.0,Solukhumbu,339.0,0.0,0.0,1.0,1.0,112.0,225.0,ANNAPURNA,Machhapuchre base camp,,"28  32 00""","83  57 00""",3750.0,-,-,-,-,-,-,-,-,Semiautmatic/ AWS,-,lumbini,,,78,80
Soyabeans,339994.0,12368.2,Lychee,274830.0,1177.9,32541.0,925.3,247407.0,8570.0,252.6,151758.0,288076.0,180883.0,40,6,0,Karnali,366255,1688412,823761,864651,51905,121647,72052,49595,62728,94320,77278,17042,Bagmati-Terai,Province-ecological zone,83.8,11.8,4.4,Babai,190.0,Drainage Area (kmÂ²) - Nepal,3400.0,Solukhumbu,106772.0,3312.0,37.2,0.0,1.0,Rupandehi,0-1000,1000-2000,12.0,Unnamed 3,-,5205.0,349396.0,1994-01-01,765.0,155.0,1329.0,3234.0,11701.0,392.0,184.0,Heavy rainfall,0.0,0.0,0.0,4.0,5.0,3.0,1994-01-01,49.0,0.0,47.0,0.0,43.0,626.0,0.0,765.0,12.0,Okhaldhunga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANNAPURNA,Bagar,,-,-,-,"28  3030""","83  54 19""",3313.0,148.0,Modi,33.0,Annapurna glacier,RLS (Radar Level Sensr),-,-,karnali,,kailali,78,80
Black grams,231786.0,14916.2,Apple,67190.0,3080.2,27439.0,1783.8,1551737.0,20029.0,1296.4,1178028.0,246699.0,214022.0,40,7,0,Sudur Paschim,577102,2694783,1272786,1421997,90890,210107,130462,79645,172115,343523,255761,87762,Gandaki-Mountain,Province-ecological zone,47.1,17.6,35.2,West Rapti,257.0,Drainage Area (kmÂ²) - Nepal,6500.0,Okhaldhunga,148320.0,1074.0,134.9,1099.0,13.0,Janakpur,0-1000,1000-2000,13.0,West Chamjang,-,4983.0,6446.0,1995-01-01,873.0,1937.0,2053.0,10275.0,134216.0,41867.26,1933.0,Other*,1092.0,0.0,0.0,15323.0,0.0,2892.0,1995-01-01,203.0,0.0,34.0,43.0,73.0,520.0,0.0,873.0,13.0,Khotang,10.0,0.0,0.0,4.0,5.0,1.0,0.0,KANJIROWA,Hurikot,,"29  07 00""","82  36 00""",2735.0,-,-,-,-,-,-,-,-,Semiautomatic,-,sudur paschim,,,78,80
Red grams,70170.0,5017.3,Pear,128308.0,180.9,10240.0,146.8,60318.0,2254.0,34.0,20308.0,176902.0,67322.0,50,1,1,Taplejung,27798,120590,60773,59817,3645,8607,4526,4081,4847,6237,5374,863,Gandaki-Hill,Province-ecological zone,86.6,12.8,0.6,Narayani,332.0,Drainage Area (kmÂ²) - Nepal,28090.0,Khotang,209130.0,1591.0,200.46,0.0,13.0,Dhanusha,0-1000,1000-2000,14.0,Tsho Rolpa,Dolakha,4556.0,231693.0,1996-01-01,895.0,1527.0,2480.0,30014.0,58329.0,6063.4,1579.0,Total,40264.0,310.0,78387.0,1330913.0,5932012.0,22372.0,1996-01-01,258.0,3.0,75.0,4.0,61.0,494.0,0.0,895.0,14.0,Udaypur,14.0,4.0,4.0,6.0,0.0,0.0,0.0,KANJIROWA,Hurikot,,-,-,-,"29  05 00""","82  33 00""",2600.0,725.0,Sano Bheri,,Kanjirowa Glacier,Staff gauge,-,-,taplejung,taplejung,taplejung,78,80
Grass pea,96521.0,15641.2,Peach,251228.0,225.7,17617.0,175.4,74059.0,4588.0,50.3,33943.0,362050.0,141328.0,50,1,2,Sankhuwasabha,39173,158041,79579,78462,8418,19139,10368,8771,6369,7904,6858,1046,Gandaki-Terai,Province-ecological zone,90.8,4.7,4.6,Bagmati,163.0,Drainage Area (kmÂ²) - Nepal,3700.0,Udayapur,321962.0,2063.0,249.16,1292.0,12.0,Dipayal,0-1000,1000-2000,15.0,Unnamed 4,Taplejung,4876.0,179820.0,1997-01-01,1160.0,1120.0,1191.0,4825.0,46054.0,6063.4,410.0,,1297.0,0.0,305.0,479.0,4744.0,947.5,1997-01-01,83.0,0.0,49.0,12.0,65.0,951.0,0.0,1160.0,15.0,Saptari,46.0,35.0,11.0,0.0,0.0,0.0,0.0,HUMLA,Panchamukhi base   camp,,-,-,3825.0,-,-,-,-,-,-,Panchmukhi Glacier,Semiautomatic,-,-,sankhuwasabha,sankhuwasabha,sankhuwasabha,78,80
Lentil,529217.0,75473.6,Papaya,191669.0,157.1,10420.0,120.9,125672.0,2687.0,36.2,50086.0,279081.0,117661.0,50,1,3,Solukhumbu,26319,104851,52747,52104,6206,16109,8448,7661,3740,4948,3593,1355,Lumbini-Hill,Province-ecological zone,78.6,20.0,1.4,Sapkoshi,513.0,Drainage Area (kmÂ²) - Nepal,31940.0,Saptari,646250.0,1363.0,246.5,2622.0,18.0,Doti,0-1000,1000-2000,16.0,Nagma Pokhari,-,4907.0,18971.0,1998-01-01,1190.0,117.0,1179.0,15082.0,36987.0,326.89,1230.0,,1297.0,0.0,305.0,479.0,4744.0,947.5,1998-01-01,273.0,0.0,23.0,0.0,54.0,840.0,0.0,1190.0,16.0,Siraha,140.0,67.0,73.0,0.0,0.0,0.0,0.0,HUMLA,Daldung,,-,-,-,"30  11 00""","81  32 00""",3500.0,-,Daldung khola,-,-,Staff gauge,-,-,solukhumbu,solukhumbu,solukhumbu,78,80
Gram,106507.0,7487.1,Pomegranate,111072.0,184.1,7841.0,99.1,48577.0,3890.0,85.0,165663.0,117672.0,93588.0,50,1,4,Okhaldhunga,34294,139552,68080,71472,8668,32316,17365,14951,5453,7449,6258,1191,Lumbini-Terai,Province-ecological zone,83.3,13.3,3.4,Kankai,108.0,Drainage Area (kmÂ²) - Nepal,1330.0,Siraha,643136.0,1188.0,144.93,4438.0,12.0,Simara,0-1000,1000-2000,17.0,Unnamed 5,Gorkha,3590.0,81520.0,1999-01-01,1466.0,146.0,650.0,4304.0,17842.0,182.4,509.0,,1297.0,0.0,305.0,479.0,4744.0,947.5,1999-01-01,193.0,0.0,22.0,5.0,39.0,1207.0,0.0,1466.0,17.0,Dhanusha,230.0,193.0,37.0,0.0,0.0,0.0,0.0,TSHO ROLPA,Tsho Rolpa,,"27  50 00""","86  28 00""",4580.0,-,-,-,-,-,-,Trakarding glacier,RLS (Radar Level Sensor) in lake,AWS,-,okhaldhunga,okhaldhunga,okhaldhunga,78,80
Pea,375712.0,15998.2,Coconut,44804.0,51.5,2816.0,34.5,17163.0,636.0,17.0,15923.0,57182.0,22770.0,50,1,5,Khotang,41750,175298,86637,88661,11177,31222,16489,14733,8855,11207,10090,1117,Karnali-Mountain,Province-ecological zone,91.7,4.1,4.2,Other River,240.0,Drainage Area (kmÂ²) - Nepal,24921.0,Dhanusha,768404.0,1180.0,203.14,3783.0,17.0,Bara,0-1000,1000-2000,18.0,Unnamed 6,Mustang,5419.0,149544.0,2000-01-01,377.0,162.0,1017.0,6886.0,24900.0,889.0,1141.5,,1297.0,0.0,305.0,479.0,4744.0,947.5,2000-01-01,173.0,0.0,26.0,0.0,37.0,141.0,0.0,377.0,18.0,Mahottari,186.0,173.0,13.0,0.0,0.0,0.0,0.0,RWALLING KHOLA BEDING,Rwalling Khola Beding,,-,-,-,"27  51 00""","86  27 00""",3800.0,-,Rwalling Khola,-,-,Staff gauge,Semiautmatic,-,khotang,khotang,khotang,78,80
Green gram,56812.0,10296.9,Walnut,57284.0,611.9,10107.0,290.1,212267.0,8159.0,321.8,304176.0,90200.0,117612.0,50,1,6,Bhojpur,38631,157923,78211,79712,8997,23871,12683,11188,7216,9109,8065,1044,Karnali-Hill,Province-ecological zone,74.7,21.9,3.3,Mahakali,223.0,Estimated Runoff (mÂ³/sec) - From All Basins,698.0,Mahottari,646405.0,1002.0,185.03,3494.0,18.0,Biratnagar,0-1000,1000-2000,19.0,Unnamed 7,-,5452.0,1015173.0,2001-01-01,415.0,132.0,665.0,6103.0,15908.0,,526.65,,1297.0,0.0,305.0,479.0,4744.0,947.5,2001-01-01,196.0,1.0,38.0,0.0,26.0,154.0,0.0,415.0,19.0,Sarlahi,74.0,47.0,27.0,0.0,0.0,0.0,0.0,DHARAPANI MANAG,Dharapani Manag,,-,-,-,-,-,-,-,-,-,Thulagi Glacier,-,-,-,bhojpur,bhojpur,bhojpur,78,80
Horse gram,67351.0,5634.8,Betel nut,117568.0,2088.0,18572.0,1245.6,1456043.0,10631.0,842.4,1076851.0,538725.0,306631.0,50,1,7,Dhankuta,37648,150599,73824,76775,7764,18942,9852,9090,7979,9592,8461,1131,Sudurpaschim-Mountain,Province-ecological zone,86.1,12.5,1.3,Karnali,507.0,Estimated Runoff (mÂ³/sec) - From All Basins,1441.0,Sarlahi,768649.0,1259.0,181.42,4237.0,14.0,Morang,0-1000,1000-2000,20.0,Thulagi,-,3825.0,223385.0,2002-01-01,458.0,287.0,2126.0,19856.0,40935.0,10078.0,525.56,,1297.0,0.0,305.0,479.0,4744.0,947.5,2002-01-01,441.0,0.0,6.0,0.0,11.0,0.0,0.0,458.0,20.0,Sindhuli,9.0,0.0,4.0,5.0,0.0,0.0,0.0,DONA KHOLA,Dona Khola,,-,-,-,"28  30 00""","84  21 00""",-,-,Dona khola,-,-,staff gauge,Raingauge,out let of Thulagi Glacier lake,dhankuta,dhankuta,dhankuta,78,80
Cow pea,518219.0,12611.9,Kiwifruit,38975.0,1485.3,12108.0,959.6,344591.0,7810.0,525.7,240047.0,78236.0,86433.0,50,1,8,Terhathum,21857,88731,43581,45150,3855,9015,4863,4152,4680,5772,5221,551,Sudurpaschim-Hill,Province-ecological zone,66.8,15.0,18.3,Babai,190.0,Estimated Runoff (mÂ³/sec) - From All Basins,103.0,Sindhuli,294621.0,2491.0,278.6,1058.0,11.0,Butawal,0-1000,2000 - 3000,10.5,,,4945.0,143249.0,2003-01-01,310.0,160.0,1125.0,6819.0,11730.0,2360.0,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,2003-01-01,232.0,0.0,62.0,0.0,16.0,0.0,0.0,310.0,21.0,Ramechhap,25.0,0.0,0.0,1.0,0.0,21.0,3.0,DAFEN LAKE,Dafe lake Thali Jumla,,"29  21 30""","82  09 35""",3800.0,-,-,-,-,-,-,-,Semiautomatic,-,-,terhathum,terhathum,terhathum,78,80
Bean,622146.0,18004.0,Avocado,40112.0,470.9,4003.0,150.9,52934.0,5279.0,319.9,138063.0,38838.0,78457.0,50,1,9,Panchthar,42495,172400,85683,86717,7731,16995,8889,8106,9455,11701,10326,1375,Sudurpaschim-Terai,Province-ecological zone,75.5,6.4,18.1,West Rapti,257.0,Estimated Runoff (mÂ³/sec) - From All Basins,224.0,Ramechhap,205312.0,1546.0,107.9,1903.0,7.0,Rupandehi,0-1000,2000 - 3000,10.5,,,4945.0,143249.0,2004-01-01,192.0,220.0,888.0,4818.0,16997.0,0.0,341.09,,1297.0,0.0,305.0,479.0,4744.0,947.5,2004-01-01,131.0,0.0,10.0,0.0,10.0,41.0,0.0,192.0,22.0,Dolakha,42.0,0.0,0.0,3.0,5.0,23.0,11.0,,,,,,,,,,,,,,,,,panchthar,panchthar,panchthar,78,80
Other leguminous crops,90898.0,6395.3,Plum,100223.0,125.8,8908.0,92.4,80503.0,1822.0,33.3,17772.0,147391.0,42761.0,50,1,10,Ilam,70532,279534,139431,140103,9783,19255,10118,9137,14795,18845,14949,3896,Male,Sex of respondent,88.7,8.2,3.1,Narayani,332.0,Estimated Runoff (mÂ³/sec) - From All Basins,1753.0,Dolakha,188186.0,2191.0,149.75,1257.0,7.0,Khairenitar,0-1000,2000 - 3000,10.5,,,4945.0,143249.0,2005-01-01,242.0,153.0,955.0,3169.0,4315.0,0.0,387.21,,1297.0,0.0,305.0,479.0,4744.0,947.5,2005-01-01,141.0,0.0,18.0,21.0,28.0,34.0,0.0,242.0,23.0,Sindhupalchwok,75.0,0.0,0.0,12.0,5.0,58.0,0.0,,,,,,,,,,,,,,,,,ilam,ilam,ilam,78,80
Winter potato,1336616.0,61033.4,Other fruits,129941.0,704.3,11085.0,394.3,201435.0,4838.0,310.1,247061.0,236136.0,156849.0,50,1,11,Jhapa,245142,998054,478509,519545,21322,38551,22460,16091,69824,91314,73025,18289,Female,Sex of respondent,82.4,13.2,4.5,Bagmati,163.0,Estimated Runoff (mÂ³/sec) - From All Basins,178.0,Sindhupalchok,289455.0,2542.0,206.67,1401.0,8.0,Tanahu,0-1000,2000 - 3000,10.5,,,4945.0,143249.0,2006-01-01,132.0,88.0,10098.0,3765.0,19023.0,3396.84,392.31,,1297.0,0.0,305.0,479.0,4744.0,947.5,2006-01-01,114.0,0.0,15.0,0.0,3.0,0.0,0.0,132.0,24.0,Kavrepalanchok,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,jhapa,jhapa,jhapa,78,80
Summer potato,483645.0,37697.9,Tea,21341.0,5665.7,16693.0,4982.8,5578.0,683.0,140.10000000000002,165663.0,230090.0,117661.0,50,1,12,Morang,272283,1148156,557512,590644,22797,43507,25482,18025,60757,75868,63847,12021,Nepal,National Average,87.2,9.3,3.4,Sapkoshi,513.0,Estimated Runoff (mÂ³/sec) - From All Basins,1658.0,Kavrepalanchok,389959.0,1396.0,155.12,2514.0,11.0,Hetauda,0-1000,2000 - 3000,10.5,,,4945.0,143249.0,2007-01-01,274.0,144.0,21861.0,37984.0,117203.0,513.65,1928.55,,1297.0,0.0,305.0,479.0,4744.0,947.5,2007-01-01,216.0,0.0,40.0,6.0,9.0,3.0,0.0,274.0,25.0,Lalitpur,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,morang,morang,morang,78,80
