Temporary Crop,Number of Holdings.1,Area (ha.),Permanent crop type,Total holdings reporting,Compact plantation area (ha),Compact plantation Number of scattered trees,Productive age,Non-productive age,Productive age.1,Non-productive age.1,No. of holdings,Area (ha),Number of trees,Area_ha,prov,dist,Area_Name,Total_Households,total,Male,Female,absnt_cntry_hhld,absnt_cntry_tot,absnt_cntry_male,absnt_cntry_feml,absnt_abrd_hhld,absnt_abrd_tot,absnt_abrd_male,absnt_abrd_feml,Domain Value,Analytical Domain,Yes,No,Don't Know,River,Length(km),River Attribute,Value,District/Zone/Region,Total Population (2011),Total Area (Km2),Total Road Length (Km.),Population Influenced per Km. Road (Nos.),Road Density (Km/100,locations,Altitude in masl,Average Annual Rainfall(in mm),S.N.,Glacier Lake,Location /District,Altitude (m.),Area (sq.m.),Year,Number of People Dead,Number of People Injured,Number of Livestock Loss,Number of House Destroyed,Number of Affected Family,Land Affected (Ha.),Estimated Loss (Million NRs.),Disaster type,No. of death,No. of persons missing,No. of persons injured,No. of houses damaged or destroyed,No of affected families,No. of incidents,Year.1,Flood & Landslides,Earthquake,"Windstorms, Hailstorm & Thunderbolt",Avalanche,Fire,Epidemic,Stampede,Total.1,S.N..1,District,Total Lake,<100m,100-499 m,500- 1999m,2000-2999m,3000-4999m,> 5000m,Region.1,Station,Date of Establishment,Meterological Station Lat(N),Meterological Station Long(E),Meterological Station Altitude(in masl),Hydrological Station Lat(N),Hydrological Station Long.(E),Hydrological Station Altitude(in masl),Catchment(sq km),River Basin,Glacier Covered(in percentage),Source,Type of hydrological station,Type of meterological station,Remarks,district,district_matched,district_matched_second_round,district_matched_count,district_matched_second_round_count
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,47,Rukum (East),12886,56786,27516,29270,1306,3300,1764,1536,2532,3108,2864,244,,,86.0,11.4,3.4,,240.0,,1549.5,Surkhet,360104.0,2451.0,264.14,1363.0,11.0,Jumla,2000-3000,500 - 1000,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,60.0,Dailekh,7.0,0.0,0.0,5.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,rukum (east),eastern_rukum,eastern_rukum,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,48,Rolpa,52221,234793,109871,124922,7535,18064,9992,8072,15028,20024,17812,2212,,,86.0,11.4,3.4,,240.0,,1549.5,Dailekh,263835.0,1502.0,275.23,959.0,18.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,61.0,Jajarkot,16.0,0.0,0.0,0.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,rolpa,rolpa,rolpa,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,49,Pyuthan,56203,232019,104132,127887,9590,19840,11994,7846,23197,31720,29015,2705,,,86.0,11.4,3.4,,240.0,,1549.5,Jajarkot,172565.0,2230.0,158.0,1092.0,7.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,62.0,Dolpa,210.0,0.0,0.0,0.0,0.0,47.0,163.0,,,,,,,,,,,,,,,,,pyuthan,pyuthan,pyuthan,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,50,Gulmi,66125,246494,112025,134469,18889,51841,28913,22928,27183,41550,35479,6071,,,86.0,11.4,3.4,,240.0,,1549.5,Dolpa,36701.0,7889.0,0.0,0.0,0.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,63.0,Jumla,99.0,0.0,0.0,0.0,1.0,97.0,1.0,,,,,,,,,,,,,,,,,gulmi,gulmi,gulmi,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,51,Arghakhanchi,48465,177086,80672,96414,13227,37063,20956,16107,20364,29934,26270,3664,,,86.0,11.4,3.4,,240.0,,1549.5,Jumla,108734.0,2531.0,96.0,1133.0,4.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,64.0,Kalikot,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,arghakhanchi,arghakhanchi,arghakhanchi,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,52,Palpa,65049,245027,112761,132266,16961,46182,25313,20869,22955,30698,27786,2912,,,86.0,11.4,3.4,,240.0,,1549.5,Kalikot,141620.0,1741.0,106.0,1336.0,6.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,65.0,Mugu,125.0,0.0,0.0,0.0,3.0,93.0,29.0,,,,,,,,,,,,,,,,,palpa,palpa,palpa,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,53,Nawalparasi (Bardaghat Susta West),82738,386868,188182,198686,5408,10137,6262,3875,21924,27942,24570,3372,,,86.0,11.4,3.4,,240.0,,1549.5,Mugu,55311.0,3535.0,28.0,0.0,1.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,66.0,Humla,381.0,0.0,0.0,0.0,0.0,147.0,234.0,,,,,,,,,,,,,,,,,nawalparasi (bardaghat susta west),nawalpur,nawalpur,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,54,Rupandehi,238320,1121957,550478,571479,13696,27216,16313,10903,58935,79818,67233,12585,,,86.0,11.4,3.4,,240.0,,1549.5,Humla,51008.0,5655.0,60.0,0.0,1.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,67.0,Bajura,57.0,0.0,0.0,0.0,5.0,45.0,7.0,,,,,,,,,,,,,,,,,rupandehi,rupandehi,rupandehi,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,55,Kapilbastu,121946,682961,334687,348274,7091,14791,9209,5582,31072,43881,39273,4608,,,86.0,11.4,3.4,,240.0,,1549.5,Bajura,135506.0,2188.0,50.0,2710.0,2.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,68.0,Bajhang,25.0,0.0,0.0,0.0,2.0,19.0,4.0,,,,,,,,,,,,,,,,,kapilbastu,kapilbastu,kapilbastu,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,56,Dang,162316,674993,320573,354420,17024,33802,20763,13039,41798,53394,47199,6195,,,86.0,11.4,3.4,,240.0,,1549.5,Bajhang,196277.0,3422.0,101.08,1942.0,3.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,69.0,Achham,13.0,0.0,0.0,3.0,7.0,3.0,0.0,,,,,,,,,,,,,,,,,dang,dang,dang,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,57,Banke,129307,603194,296745,306449,11774,20828,13989,6839,22492,29594,25697,3897,,,86.0,11.4,3.4,,240.0,,1549.5,Achham,258022.0,1680.0,144.0,1792.0,9.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,70.0,Doti,19.0,0.0,0.0,9.0,4.0,6.0,0.0,,,,,,,,,,,,,,,,,banke,banke,banke,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,5,58,Bardiya,106326,459900,216766,243134,21901,39947,27261,12686,20593,29243,24472,4771,,,86.0,11.4,3.4,,240.0,,1549.5,Doti,211827.0,2025.0,224.46,944.0,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,71.0,Kailali,114.0,0.0,113.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,bardiya,bardiya,bardiya,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,59,Dolpa,9398,42774,21371,21403,1031,2139,1180,959,324,430,327,103,,,86.0,11.4,3.4,,240.0,,1549.5,Kailali,770279.0,3235.0,311.6,2472.0,10.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,72.0,Kanchanpur,85.0,2.0,79.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,dolpa,dolpa,dolpa,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,60,Mugu,12439,64549,32381,32168,2194,5795,3450,2345,730,1116,870,246,,,86.0,11.4,3.4,,240.0,,1549.5,Kanchanpur,444315.0,1610.0,155.42,2859.0,10.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,73.0,Dadheldhura,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,mugu,mugu,mugu,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,61,Humla,11228,55394,27886,27508,3843,10529,5938,4591,525,796,514,282,,,86.0,11.4,3.4,,240.0,,1549.5,Dadeldhura,141543.0,1538.0,161.08,879.0,10.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,74.0,Baitadi,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,humla,humla,humla,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,62,Jumla,24438,118349,59228,59121,3695,9548,5556,3992,1592,2703,1987,716,,,86.0,11.4,3.4,,240.0,,1549.5,Baitadi,252116.0,1519.0,238.62,1057.0,16.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,75.0,Darchula,19.0,0.0,0.0,1.0,0.0,16.0,2.0,,,,,,,,,,,,,,,,,jumla,jumla,jumla,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,63,Kalikot,26779,145292,72245,73047,3991,12373,7090,5283,2746,5586,3923,1663,,,86.0,11.4,3.4,,240.0,,1549.5,Darchula,133464.0,2322.0,121.42,1099.0,5.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,kalikot,kalikot,kalikot,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,64,Dailekh,54610,252313,120774,131539,8030,21179,12386,8793,12249,19343,16235,3108,,,86.0,11.4,3.4,,240.0,,1549.5,Total of Nepal,26620809.0,147181.0,12898.2,2064.0,9.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,dailekh,dailekh,dailekh,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,65,Jajarkot,37466,189360,94063,95297,3887,8999,5340,3659,3791,6136,4724,1412,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,jajarkot,jajarkot,jajarkot,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,66,Rukum (West),37303,166740,81091,85649,4887,10579,6150,4429,7231,10193,8518,1675,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,rukum (west),western_rukum,western_rukum,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,67,Salyan,54701,238515,114982,123533,5948,13224,7683,5541,12800,17024,14745,2279,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,salyan,salyan,salyan,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,6,68,Surkhet,97893,415126,199740,215386,14399,27282,17279,10003,20740,30993,25435,5558,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,surkhet,surkhet,surkhet,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,7,69,Bajura,28065,138523,67070,71453,5383,14898,8812,6086,6182,14339,9621,4718,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,bajura,bajura,bajura,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,7,70,Bajhang,38048,189085,88470,100615,7068,19402,11909,7493,12593,34093,22170,11923,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,bajhang,bajhang,bajhang,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,7,71,Darchula,28417,133310,64424,68886,7162,18418,11144,7274,5088,7448,6342,1106,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,darchula,darchula,darchula,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,7,72,Baitadi,49428,242157,113864,128293,8189,20048,12932,7116,13117,22821,18581,4240,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,baitadi,baitadi,baitadi,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,7,73,Dadeldhura,31193,139602,65893,73709,5658,13528,8412,5116,9233,15518,12689,2829,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,dadeldhura,dadeldhura,dadeldhura,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,7,74,Doti,45182,204831,93604,111227,6084,13890,8625,5265,17629,28574,23759,4815,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,doti,doti,doti,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,7,75,Achham,49595,228852,105319,123533,8193,19969,12302,7667,19409,44167,31056,13111,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,achham,achham,achham,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,7,76,Kailali,195957,904666,433456,471210,25584,57569,34722,22847,52807,110328,79947,30381,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,kailali,kailali,kailali,78,80
,231786.0,10928.6,,115538.0,704.3,11085.0,351.45,125672.0,4230.0,140.10000000000002,165663.0,230090.0,117661.0,50,7,77,Kanchanpur,111217,513757,240686,273071,17569,32385,21604,10781,36057,66235,51596,14639,,,86.0,11.4,3.4,,240.0,,1549.5,,269698.5,1697.5,173.62,1394.5,11.0,,,,10.5,,,4945.0,143249.0,,641.0,220.0,1531.0,7166.0,18432.5,,989.93,,1297.0,0.0,305.0,479.0,4744.0,947.5,,232.0,0.0,42.5,0.0,52.0,141.0,0.0,579.0,38.0,,30.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,kanchanpur,kanchanpur,kanchanpur,78,80
